reserve,impressions,demand_factor,WE,WF,revenue_mean
3,2000,0.75,3,5,11.78492229609916
4,2000,0.75,2,6,11.688332033546967
5,2000,0.75,3,5,15.32517009270476
6,2000,0.75,2,6,15.491221994598666
7,2000,0.75,4,4,19.67457978882026
8,2000,0.75,3,5,19.466854518621982
9,2000,0.75,4,4,22.69623200486845
10,2000,0.75,4,4,22.8394099584294
11,2000,0.75,4,4,23.699145903142462
12,2000,0.75,2,6,22.96419868247105
13,2000,0.75,3,5,25.46008304705789
14,2000,0.75,1,7,24.86038792729989
15,2000,0.75,2,6,26.53601592138245
16,2000,0.75,2,6,27.688722061091443
17,2000,0.75,2,6,28.393226402482
18,2000,0.75,3,5,29.380792781356543
19,2000,0.75,2,6,29.600978734298398
20,2000,0.75,2,6,30.424307040260548
21,2000,0.75,2,6,32.194153375889655
22,2000,0.75,2,6,30.759961110570693
23,2000,0.75,1,7,31.98215099850305
24,2000,0.75,0,8,31.49899709418224
25,2000,0.75,1,7,31.412646202038804
26,2000,0.75,0,8,32.52841193474909
27,2000,0.75,0,8,33.20028479180732
28,2000,0.75,1,7,33.13451219957738
29,2000,0.75,0,8,32.869839667708305
30,2000,0.75,0,8,34.16569593822597
31,2000,0.75,0,8,34.10340301139679
32,2000,0.75,0,8,35.54492969622572
33,2000,0.75,0,8,34.806294976090776
34,2000,0.75,0,8,35.152573582272666
35,2000,0.75,0,8,35.557230881630176
36,2000,0.75,0,8,35.21187585895151
37,2000,0.75,0,8,35.92272689182926
38,2000,0.75,0,8,36.635812099980576
39,2000,0.75,1,7,35.458767458195865
40,2000,0.75,0,8,35.77940829308055
41,2000,0.75,1,7,35.72329580029568
42,2000,0.75,0,8,36.09402320251729
43,2000,0.75,0,8,35.774773883452745
44,2000,0.75,0,8,36.35208801170498
45,2000,0.75,0,8,36.03751645014586
46,2000,0.75,0,8,36.0187187681975
47,2000,0.75,0,8,36.14320991295492
48,2000,0.75,0,8,36.524946702001905
49,2000,0.75,0,8,36.11179528464007
50,2000,0.75,0,8,36.65836629324095
51,2000,0.75,1,7,35.84488196564136
52,2000,0.75,0,8,37.111750391307
53,2000,0.75,0,8,37.59205630361154
54,2000,0.75,0,8,37.06358727531862
55,2000,0.75,0,8,36.45110792717715
56,2000,0.75,0,8,36.90342963856765
57,2000,0.75,0,8,36.502335051931965
58,2000,0.75,0,8,36.96332306884077
59,2000,0.75,0,8,37.60221600084881
60,2000,0.75,0,8,37.38758757204015
61,2000,0.75,0,8,37.00870243502689
62,2000,0.75,0,8,37.04490385552465
63,2000,0.75,0,8,36.48610044393361
64,2000,0.75,0,8,36.65346479042464
65,2000,0.75,0,8,37.257491237599176
66,2000,0.75,0,8,36.70702367917284
67,2000,0.75,0,8,37.16047715842076
68,2000,0.75,0,8,37.523217991628954
69,2000,0.75,0,8,37.274872660893394
70,2000,0.75,0,8,37.31407594138282
71,2000,0.75,0,8,36.650163940198176
72,2000,0.75,0,8,37.31751786302161
73,2000,0.75,0,8,37.60786082328718
74,2000,0.75,0,8,37.225493303001315
75,2000,0.75,0,8,36.94262224261111
76,2000,0.75,0,8,36.63856652175527
77,2000,0.75,0,8,38.712547166766655
78,2000,0.75,0,8,36.31805441400913
79,2000,0.75,0,8,36.77161281755431
80,2000,0.75,0,8,37.064004821242
81,2000,0.75,0,8,36.71384103945844
82,2000,0.75,0,8,35.933693133654124
83,2000,0.75,0,8,36.29440034516868
84,2000,0.75,0,8,37.08011805208341
85,2000,0.75,0,8,36.20253693375525
86,2000,0.75,0,8,33.06032601498162
87,2000,0.75,0,8,35.42960386488421
88,2000,0.75,0,8,32.991900113496165
89,2000,0.75,0,8,32.74428204546389
90,2000,0.75,0,8,32.625443491124216
91,2000,0.75,0,8,32.72829770747328
92,2000,0.75,0,8,30.743847988807765
93,2000,0.75,0,8,30.209126371893703
94,2000,0.75,0,8,27.509060538449173
95,2000,0.75,0,8,27.30239199766881
96,2000,0.75,0,8,26.04186910542985
97,2000,0.75,0,8,23.565961752815987
98,2000,0.75,0,8,23.207296306837627
99,2000,0.75,0,8,22.171975506536413
100,2000,0.75,0,8,20.55088586910263
101,2000,0.75,0,8,20.794204939865068
102,2000,0.75,0,8,17.703644949495793
103,2000,0.75,0,8,14.646218410028744
104,2000,0.75,0,8,14.066584352876479
105,2000,0.75,0,8,13.03062869385408
106,2000,0.75,0,8,11.977606542894678
107,2000,0.75,0,8,10.164602138578694
108,2000,0.75,0,8,8.797797407691371
109,2000,0.75,0,8,7.733440504616471
110,2000,0.75,0,8,6.641841468475077
111,2000,0.75,0,8,5.716846874999999
